모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급,,행 레이블,평균 : 복합_연비,
디펜더 90 P400,랜드로버,승용차,다목적형,하이브리드,휘발유,2996,자동8,248,7.20 ,5등급,TRUE,LPG,8.603,
레인지로버 벨라 P250,랜드로버,승용차,다목적형,내연기관,휘발유,1997,자동8,188,8.90 ,5등급,TRUE,경유,12.29192735,
디펜더 130 P400,랜드로버,승용차,다목적형,하이브리드,휘발유,2996,자동8,242,7.20 ,5등급,TRUE,수소,0,
더 뉴 레인지로버 P615 SV,랜드로버,승용차,다목적형,하이브리드,휘발유,4395,자동8,230,7.80 ,5등급,TRUE,전기,4.258108108,
더 뉴 레인지로버 P530 SWB,랜드로버,승용차,다목적형,하이브리드,휘발유,4395,자동8,230,7.80 ,5등급,TRUE,전기+휘발유,45362,
더 뉴 레인지로버 P530 LWB,랜드로버,승용차,다목적형,하이브리드,휘발유,4395,자동8,230,7.80 ,5등급,TRUE,휘발유,10.29139671,
더 뉴 레인지로버 P530 LWB,랜드로버,승용차,다목적형,하이브리드,휘발유,4395,자동8,230,7.80 ,5등급,TRUE,(비어 있음),,
더 뉴 레인지로버 P615 SV,랜드로버,승용차,다목적형,하이브리드,휘발유,4395,자동8,230,7.80 ,5등급,TRUE,총합계,24.13517557,
볼보 S90T8 AWD,볼보,승용차,일반형,PHEV,전기+휘발유,1969,자동8,23,3.6 / 13,PHEV,,,,
MASADA QQ 2밴,체리자동차,화물차,밴형,전기(MCT),전기,,없음,0,6.30 ,초소형,TRUE,,,
Mercedes-Benz GLB 250 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,1991,자동8,162,10.50 ,4등급,TRUE,,,
Mercedes-Benz GLB 250 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,1991,자동8,162,10.50 ,4등급,TRUE,,,
Mercedes-AMG GLB 35 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,1991,자동8,182,9.50 ,4등급,TRUE,,,
Peugeot 2008 1.5 BlueHDi,PSA Automobiles,승용차,다목적형,내연기관,경유,1499,자동8,109,17.10 ,1등급,TRUE,,,
Mustang 2.3L Convertible,포드,승용차,일반형,내연기관,휘발유,2261,자동10,175,9.60 ,4등급,TRUE,,,
Mustang GT 5.0L Convertible,포드,승용차,일반형,내연기관,휘발유,5038,자동10,238,7.20 ,5등급,TRUE,,,
"K5 PE 하이브리드 2.0GDI 18""",기아,승용차,일반형,하이브리드,휘발유,1999,자동6,93,17.10 ,1등급,TRUE,,,
"K5 PE 하이브리드 2.0GDI 17""(C)",기아,승용차,일반형,하이브리드,휘발유,1999,자동6,87,18.20 ,1등급,TRUE,,,
"K5 PE 하이브리드 2.0GDI 17""(nC)",기아,승용차,일반형,하이브리드,휘발유,1999,자동6,84,18.80 ,1등급,TRUE,,,
