놀ㄹ,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수,작업일시
2018-03-01,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,535,7,2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,"1,796",18,2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72983,청심경로당,"3,075",32,2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,"5,858",193,2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72985,산천동,"8,332",296,2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,"6,958",326,2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,"1,862","1,830",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72988,새마을금고,"4,652","3,449",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),33066,용문시장,"5,815","2,063",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,"2,795","1,084",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,"1,152","2,137",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72992,용산역,"32,517","25,511",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,819,"1,931",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,"7,792","4,093",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,"2,156","12,442",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,"1,194","11,452",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,"1,160","6,828",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,406,"2,263",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,328,"2,436",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,81,"3,126",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),8003000,청암동강변삼성아파트,"2,096","4,129",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),9003186,원효2동산호아파트,"5,246","1,024",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),9000272,원효로풍전아파트,"4,189",483,2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),9000367,성촌공원.포르쉐센터용산,"3,633","1,496",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),9000269,이촌2동주민센터,"8,875","1,279",2018-04-03 12:31
2018-03-01,11110897,17,0017번(청암동~이촌동),9000267,이촌2동대림아파트.새남터성지,"12,501","1,105",2018-04-03 12:31
