ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수,작업일시
2020-03-01,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,439,12,2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,"1,047",16,2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72983,청심경로당,"2,170",31,2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,"3,599",98,2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72985,산천동,"4,408",170,2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,"4,156",150,2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,"1,106","1,132",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72988,새마을금고,"3,122","2,134",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),33066,용문시장,"3,805","1,149",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,"2,053",718,2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,908,"1,712",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72992,용산역,"20,186","14,735",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,585,"1,411",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,"4,773","3,362",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,"1,439","8,027",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,692,"7,324",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,564,"4,286",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,261,"1,573",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,231,"1,575",2020-04-03 11:28
2020-03-01,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,62,"1,559",2020-04-03 11:28
