sido-gu,온도,습도
강릉,18.6,49
강진군,11.6,94
강화,11.1,96
거제,12.4,86
거창,12.3,75
경주시,11.9,78
고산,15.3,92
고창,11.9,89
고창군,12.5,86
고흥,10.5,93
광양시,13.7,78
광주,16.1,82
구미,12.9,69
군산,13.0,92
금산,12.4,83
김해시,14.5,75
남원,13.5,82
남해,13.1,78
대관령,7.3,77
대구,15.5,62
대전,15.0,53
동두천,11.6,82
동해,15.4,60
목포,13.1,93
문경,14.5,65
밀양,13.5,72
백령도,9.5,97
보령,12.3,91
보성군,10.5,98
보은,14.2,68
봉화,9.4,84
부산,14.9,72
부안,13.8,86
부여,12.9,90
북강릉,17.9,48
북부산,12.4,80
북창원,14.9,74
북춘천,11.0,79
산청,12.9,82
상주,14.2,65
서귀포,16.4,83
서산,10.7,93
서울,14.6,73
서청주,12.2,78
성산,15.9,94
세종,14.4,59
속초,13.3,76
수원,13.0,83
순창군,13.2,80
순천,10.0,96
안동,14.3,68
양산시,13.9,78
양평,13.6,71
여수,13.8,82
영광군,13.1,85
영덕,11.3,81
영월,12.9,66
영주,11.8,75
영천,12.4,81
완도,12.8,90
울릉도,15.0,67
울산,13.3,83
울진,13.9,70
원주,15.2,62
의령군,12.7,82
의성,10.9,82
이천,14.9,62
인제,11.0,81
인천,13.0,88
임실,11.9,85
장수,10.8,91
장흥,10.6,99
전주,15.3,78
정선군,10.4,73
정읍,12.7,83
제주,16.7,78
제천,10.2,84
진도군,11.0,96
진주,10.7,90
창원,13.1,83
천안,12.9,83
철원,10.8,75
청송군,9.9,79
청주,15.8,64
추풍령,12.6,64
춘천,11.9,70
충주,12.9,66
태백,9.1,73
통영,12.5,91
파주,9.6,95
포항,16.4,60
함양군,11.9,82
합천,13.7,77
해남,10.5,98
홍성,13.3,96
홍천,12.8,70
흑산도,13.1,80
